STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Killara,North Shore,2014,27/08/2013,No,10,20,1590,210,380,410,280,1320,80,400,2340,2340,112,1410
Gymea,Illawarra,2014,11/06/2014,Yes,30,20,1420,280,450,430,370,1100,40,490,2310,2310,113,318
Lewisham,Inner West,2014,6/09/2012,No,20,20,1220,480,430,300,490,1100,130,400,2290,2290,114,1105
Berala,Bankstown,2014,5/06/2014,Yes,20,20,1390,120,510,530,290,1230,50,360,2260,2260,115,615
Beecroft,Northern via Macquarie Park,2014,20/08/2013,No,30,20,1630,150,330,340,190,1230,40,480,2220,2220,116,1305
Arncliffe,Illawarra,2014,28/05/2014,Yes,20,20,1430,210,410,500,290,1030,60,450,2210,2210,117,304
Erskineville,Bankstown,2014,28/05/2014,Yes,20,20,930,430,410,420,610,920,150,330,2120,2120,118,601
Homebush,Inner West,2014,5/06/2014,Yes,20,20,1030,330,470,460,520,950,80,360,2120,2120,118,1111
Canterbury,Bankstown,2014,8/05/2014,Yes,30,20,810,560,480,450,690,740,70,300,2080,2080,120,606
Yagoona,Bankstown,2014,22/05/2014,Yes,30,20,1270,200,470,450,260,1020,50,390,2080,2080,120,613
Wiley Park,Bankstown,2014,13/05/2014,Yes,20,20,1090,260,570,490,350,960,40,330,2070,2070,122,610
Oatley,Illawarra,2014,27/03/2014,Yes,20,10,1300,340,280,370,430,1010,30,330,2060,2060,123,313
Narwee,East Hills,2014,3/06/2014,Yes,20,20,1350,110,410,360,210,1090,30,440,2020,2020,124,506
Allawah,Illawarra,2014,22/08/2013,No,10,20,1310,150,350,340,220,950,20,460,1910,1910,125,309
North Wollongong,South Coast,2014,14/08/2012,No,20,0,380,670,730,620,470,360,260,210,1860,1860,126,1516
Berowra,North Shore,2014,21/08/2013,No,40,0,1420,110,180,360,120,970,20,340,1780,1780,127,1421
Normanhurst,Northern via Macquarie Park,2014,26/03/2013,No,20,10,1020,490,420,290,290,690,30,310,1780,1780,127,1308
Emu Plains,Western,2014,25/10/2012,No,150,20,1060,230,270,140,210,970,30,370,1720,1720,129,929
Harris Park,Western,2014,7/03/2013,No,20,20,920,260,400,360,280,740,90,320,1710,1710,130,904
Wyong,Central Coast,2014,16/10/2014,Yes,210,10,810,170,360,390,240,660,50,450,1670,1670,131,1814
